Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL
CPU,BX80646E31246V3,Intel,Xeon E3-1246 v3,243,74.4,2349,https://cpu.userbenchmark.com/SpeedTest/11023/IntelR-XeonR-CPU-E3-1246-v3---350GHz
CPU,BX80633I74820K,Intel,Core i7-4820K,244,74.4,20188,https://cpu.userbenchmark.com/Intel-Core-i7-4820K/Rating/1675
CPU,BX80662I56600,Intel,Core i5-6600,245,74.3,79932,https://cpu.userbenchmark.com/Intel-Core-i5-6600/Rating/3514
CPU,,Intel,Xeon E3-1275 V2,246,74.3,359,https://cpu.userbenchmark.com/SpeedTest/4507/IntelR-XeonR-CPU-E3-1275-V2---350GHz
CPU,,Intel,Xeon E3-1270 V2,247,74.3,2731,https://cpu.userbenchmark.com/SpeedTest/11264/IntelR-XeonR-CPU-E3-1270-V2---350GHz
CPU,YD170XBCAEWOF,AMD,Ryzen 7 1700X,248,74.2,119759,https://cpu.userbenchmark.com/AMD-Ryzen-7-1700X/Rating/3915
CPU,100-000000084,AMD,Ryzen 5 4500U,249,74.1,18918,https://cpu.userbenchmark.com/SpeedTest/1052299/AMD-Ryzen-5-4500U-with-Radeon-Graphics
CPU,BX80623I52500K,Intel,Core i5-2500K,250,74.1,151490,https://cpu.userbenchmark.com/Intel-Core-i5-2500K/Rating/619
CPU,BX80637I73770,Intel,Core i7-3770,251,74,240410,https://cpu.userbenchmark.com/Intel-Core-i7-3770/Rating/1979
CPU,BX80646I54590,Intel,Core i5-4590,252,73.9,138867,https://cpu.userbenchmark.com/Intel-Core-i5-4590/Rating/2604
CPU,,Intel,Core i7-1185G7,253,73.9,3321,https://cpu.userbenchmark.com/SpeedTest/1268967/11th-Gen-IntelR-CoreTM-i7-1185G7---300GHz
CPU,,Intel,Core i5-4670S,254,73.9,1335,https://cpu.userbenchmark.com/SpeedTest/5523/IntelR-CoreTM-i5-4670S-CPU---310GHz
CPU,CL8068403373522,Intel,Core i5-8300H,255,73.8,140681,https://cpu.userbenchmark.com/SpeedTest/425634/IntelR-CoreTM-i5-8300H-CPU---230GHz
CPU,,Intel,Xeon E3-1240 V2,256,73.7,4283,https://cpu.userbenchmark.com/SpeedTest/5484/IntelR-XeonR-CPU-E3-1240-V2---340GHz
CPU,,Intel,Core i7-1165G7,257,73.7,22371,https://cpu.userbenchmark.com/SpeedTest/1195374/11th-Gen-IntelR-CoreTM-i7-1165G7---280GHz
CPU,100-000000105,AMD,Ryzen 5 4600U,258,73.4,382,https://cpu.userbenchmark.com/SpeedTest/1152158/AMD-Ryzen-5-4600U-with-Radeon-Graphics
CPU,,Intel,Core i5-3570,259,73.4,92000,https://cpu.userbenchmark.com/SpeedTest/793/IntelR-CoreTM-i5-3570-CPU---340GHz
CPU,,Intel,Core i7 970,260,73.3,3454,https://cpu.userbenchmark.com/SpeedTest/8374/IntelR-CoreTM-i7-CPU---------970----320GHz
CPU,,Intel,Core i7-4770S,261,73.3,10704,https://cpu.userbenchmark.com/SpeedTest/2123/IntelR-CoreTM-i7-4770S-CPU---310GHz
